"DateChecked","Title","Rating","Description","Genre"
1611848280249,"33.Joker(2019)","8.5","   In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.","Crime, Drama, Thriller            "
1611848280250,"34.Whiplash(2014)","8.5","   A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.","Drama, Music            "
1611848280250,"35.TheIntouchables(2011)","8.5","   After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Biography, Comedy, Drama            "
1611848280250,"36.ThePrestige(2006)","8.5","   After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama, Mystery, Sci-Fi            "
1611848280250,"37.TheDeparted(2006)","8.5","   An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","Crime, Drama, Thriller            "
1611848280251,"38.ThePianist(2002)","8.5","   A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","Biography, Drama, Music            "
1611848280251,"39.Gladiator(2000)","8.5","   A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.","Action, Adventure, Drama            "
1611848280251,"40.AmericanHistoryX(1998)","8.5","   A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.","Drama            "
1611848280251,"41.TheUsualSuspects(1995)","8.5","   A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Crime, Mystery, Thriller            "
1611848280251,"42.Léon(1994)","8.5","   Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Action, Crime, Drama            "
1611848280252,"43.TheLionKing(1994)","8.5","   Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation, Adventure, Drama            "
1611848280252,"44.Terminator2:JudgmentDay(1991)","8.5","   A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.","Action, Sci-Fi            "
1611848280252,"45.NuovoCinemaParadiso(1988)","8.5","   A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.","Drama, Romance            "
1611848280252,"46.Hotarunohaka(1988)","8.5","   A young boy and his little sister struggle to survive in Japan during World War II.","Animation, Drama, War            "
1611848280252,"47.BacktotheFuture(1985)","8.5","   Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.","Adventure, Comedy, Sci-Fi            "
1611848280253,"48.OnceUponaTimeintheWest(1968)","8.5","   A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.","Western            "
1611848280253,"49.Psycho(1960)","8.5","   A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","Horror, Mystery, Thriller            "
1611848280253,"50.Casablanca(1942)","8.5","   A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.","Drama, Romance, War            ""DateChecked","Title","Rating","Description","Genre"
1611848286780,"1.TheShawshankRedemption(1994)","9.3","   Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Drama            "
1611848286781,"2.TheGodfather(1972)","9.2","   An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.","Crime, Drama            "
1611848286781,"3.TheDarkKnight(2008)","9.0","   When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action, Crime, Drama            "
1611848286781,"4.TheGodfather:PartII(1974)","9.0","   The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime, Drama            "
1611848286782,"5.12AngryMen(1957)","9.0","   A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.","Crime, Drama            "
1611848286783,"6.TheLordoftheRings:TheReturnoftheKing(2003)","8.9","   Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","Action, Adventure, Drama            "
1611848286784,"7.PulpFiction(1994)","8.9","   The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime, Drama            "
1611848286784,"8.Schindler'sList(1993)","8.9","   In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography, Drama, History            "
1611848286785,"9.Inception(2010)","8.8","   A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.","Action, Adventure, Sci-Fi            "
1611848286785,"10.FightClub(1999)","8.8","   An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","Drama            "
1611848286786,"11.TheLordoftheRings:TheFellowshipoftheRing(2001)","8.8","   A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","Action, Adventure, Drama            "
1611848286786,"12.ForrestGump(1994)","8.8","   The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Drama, Romance            "
1611848286786,"13.Ilbuono,ilbrutto,ilcattivo(1966)","8.8","   A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.","Western            "
1611848286787,"14.TheLordoftheRings:TheTwoTowers(2002)","8.7","   While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action, Adventure, Drama            "
1611848286787,"15.TheMatrix(1999)","8.7","   When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action, Sci-Fi            "
1611848286787,"16.Goodfellas(1990)","8.7","   The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Biography, Crime, Drama            "
1611848286787,"17.StarWars:EpisodeV-TheEmpireStrikesBack(1980)","8.7","   After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.","Action, Adventure, Fantasy            "
1611848286788,"18.OneFlewOvertheCuckoo'sNest(1975)","8.7","   A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","Drama            "
1611848286788,"19.Hamilton(2020)","8.6","   The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Biography, Drama, History            "
1611848286788,"20.Gisaengchung(2019)","8.6","   Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","Comedy, Drama, Thriller            "
1611848286789,"21.Interstellar(2014)","8.6","   A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","Adventure, Drama, Sci-Fi            "
1611848286790,"22.CidadedeDeus(2002)","8.6","   In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Crime, Drama            "
1611848286790,"23.SentoChihironokamikakushi(2001)","8.6","   During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Animation, Adventure, Family            "
1611848286790,"24.SavingPrivateRyan(1998)","8.6","   Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Drama, War            "
1611848286791,"25.TheGreenMile(1999)","8.6","   The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Crime, Drama, Fantasy            "
1611848286791,"26.Lavitaèbella(1997)","8.6","   When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","Comedy, Drama, Romance            "
1611848286791,"27.Se7en(1995)","8.6","   Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime, Drama, Mystery            "
1611848286791,"28.TheSilenceoftheLambs(1991)","8.6","   A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime, Drama, Thriller            "
1611848286791,"29.StarWars(1977)","8.6","   Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Action, Adventure, Fantasy            "
1611848286792,"30.Seppuku(1962)","8.6","   When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Action, Drama, Mystery            "
1611848286792,"31.Shichininnosamurai(1954)","8.6","   A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.","Action, Adventure, Drama            "
1611848286792,"32.It'saWonderfulLife(1946)","8.6","   An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.","Drama, Family, Fantasy            "
1611848286792,"33.Joker(2019)","8.5","   In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.","Crime, Drama, Thriller            "
1611848286792,"34.Whiplash(2014)","8.5","   A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.","Drama, Music            "
1611848286793,"35.TheIntouchables(2011)","8.5","   After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Biography, Comedy, Drama            "
1611848286793,"36.ThePrestige(2006)","8.5","   After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama, Mystery, Sci-Fi            "
1611848286793,"37.TheDeparted(2006)","8.5","   An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","Crime, Drama, Thriller            "
1611848286793,"38.ThePianist(2002)","8.5","   A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","Biography, Drama, Music            "
1611848286794,"39.Gladiator(2000)","8.5","   A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.","Action, Adventure, Drama            "
1611848286794,"40.AmericanHistoryX(1998)","8.5","   A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.","Drama            "
1611848286794,"41.TheUsualSuspects(1995)","8.5","   A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Crime, Mystery, Thriller            "
1611848286794,"42.Léon(1994)","8.5","   Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Action, Crime, Drama            "
1611848286794,"43.TheLionKing(1994)","8.5","   Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation, Adventure, Drama            "
1611848286795,"44.Terminator2:JudgmentDay(1991)","8.5","   A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.","Action, Sci-Fi            "
1611848286795,"45.NuovoCinemaParadiso(1988)","8.5","   A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.","Drama, Romance            "
1611848286795,"46.Hotarunohaka(1988)","8.5","   A young boy and his little sister struggle to survive in Japan during World War II.","Animation, Drama, War            "
1611848286795,"47.BacktotheFuture(1985)","8.5","   Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.","Adventure, Comedy, Sci-Fi            "
1611848286796,"48.OnceUponaTimeintheWest(1968)","8.5","   A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.","Western            "
1611848286796,"49.Psycho(1960)","8.5","   A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","Horror, Mystery, Thriller            "
1611848286796,"50.Casablanca(1942)","8.5","   A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.","Drama, Romance, War            "
